archivo,columna,ground_truth,detectado,CER,WER,,"NOTA: Este código se ejecuto en Visual Studio Code y tardó una duracion de 1 hora 17 minutos en procesar el data set completo, ",,,,,,,
base64decoded - 2026-01-21T151921.456.png,COL_2,0100020551,0100020551,0,0,,,,,,,,,
base64decoded - 2026-01-21T151921.456.png,COL_3,9039916429,9039916429,0,0,,,,,,,,,
base64decoded - 2026-01-21T155203.631.png,COL_1,7280027721,7280027721,0,0,,,,,,,,,
base64decoded - 2026-01-21T155203.631.png,COL_2,3410300864,3410300864,0,0,,,,,,,,,
base64decoded - 2026-01-21T155203.631.png,COL_3,6154564539,6154564539,0,0,,,,,,,,,
base64decoded - 2026-01-21T154755.994.png,COL_1,7888784396,,1,1,,,,,,,,,
base64decoded - 2026-01-21T154755.994.png,COL_2,0643843812,,1,1,,,,,,,,,
base64decoded - 2026-01-21T154755.994.png,COL_3,3436902606,,1,1,,,,,,,,,
base64decoded (30).png,COL_1,5405863036,5405863036,0,0,,,,,,,,,
base64decoded (30).png,COL_2,7000560470,7000560470,0,0,,,,,,,,,
base64decoded (30).png,COL_3,3035981119,3035981119,0,0,,,,,,,,,
350.png,COL_1,1544623439,1544623439,0,0,,,,,,,,,
350.png,COL_2,9000130423,9000130423,0,0,,,,,,,,,
350.png,COL_3,6048886967,6048886967,0,0,,,,,,,,,
base64decoded - 2026-01-21T161336.672.jpeg,COL_1,3651857356,3651857356,0,0,,,,,,,,,
base64decoded - 2026-01-21T161336.672.jpeg,COL_2,3113403564,3113403564,0,0,,,,,,,,,
base64decoded - 2026-01-21T161336.672.jpeg,COL_3,9154370110,,1,1,,,,,,,,,
base64decoded - 2026-01-21T155221.585.png,COL_1,7183427158,7183427158,0,0,,,,,,,,,
base64decoded - 2026-01-21T155221.585.png,COL_2,3611701868,3611701868,0,0,,,,,,,,,
base64decoded - 2026-01-21T155221.585.png,COL_3,5134409603,5134409603,0,0,,,,,,,,,
base64decoded - 2026-01-21T154735.046.png,COL_1,6730653136,6730653136,0,0,,,,,,,,,
base64decoded - 2026-01-21T154735.046.png,COL_2,0041661351,0041661351,0,0,,,,,,,,,
base64decoded - 2026-01-21T154735.046.png,COL_3,2476291461,2476291461,0,0,,,,,,,,,
base64decoded - 2026-01-21T155212.904.png,COL_1,6903773420,6903773420,0,0,,,,,,,,,
base64decoded - 2026-01-21T155212.904.png,COL_2,7014604366,7014604366,0,0,,,,,,,,,
base64decoded - 2026-01-21T155212.904.png,COL_3,4184693932,4184693932,0,0,,,,,,,,,
base64decoded - 2026-01-21T164224.249.jfif,COL_1,1015266176,1015266176,0,0,,,,,,,,,
base64decoded - 2026-01-21T164224.249.jfif,COL_2,5105661779,5105661779,0,0,,,,,,,,,
base64decoded - 2026-01-21T164224.249.jfif,COL_3,8055725618,8055725618,0,0,,,,,,,,,
base64decoded - 2026-01-21T154947.214.png,COL_1,3658323610,3658323610,0,0,,,,,,,,,
base64decoded - 2026-01-21T154947.214.png,COL_2,8146066552,8146066552,0,0,,,,,,,,,
base64decoded - 2026-01-21T154947.214.png,COL_3,9486012221,9486012221,0,0,,,,,,,,,
base64decoded - 2026-01-21T160047.731.png,COL_1,4250107190,4250107190,0,0,,,,,,,,,
base64decoded - 2026-01-21T160047.731.png,COL_2,8311201561,8311201561,0,0,,,,,,,,,
base64decoded - 2026-01-21T160047.731.png,COL_3,0134431521,0134431521,0,0,,,,,,,,,
38.png,COL_1,6245865048,6245865048,0,0,,,,,,,,,
38.png,COL_2,7430500890,7430500890,0,0,,,,,,,,,
38.png,COL_3,6343863433,6343863433,0,0,,,,,,,,,
166.png,COL_1,3940745870,3940745870,0,0,,,,,,,,,
166.png,COL_2,6000930420,6000930420,0,0,,,,,,,,,
166.png,COL_3,3058589446,3058589446,0,0,,,,,,,,,
base64decoded - 2026-01-21T153836.944.png,COL_1,0856610152,0856610152,0,0,,,,,,,,,
base64decoded - 2026-01-21T153836.944.png,COL_2,2111491540,2111491540,0,0,,,,,,,,,
base64decoded - 2026-01-21T153836.944.png,COL_3,4131471871,4131471871,0,0,,,,,,,,,
100.jpg,COL_1,2442197889,2442197889,0,0,,,,,,,,,
100.jpg,COL_2,3066956415,3066956415,0,0,,,,,,,,,
100.jpg,COL_3,6980086140,6980086140,0,0,,,,,,,,,
103.png,COL_1,9405162662,9405162662,0,0,,,,,,,,,
103.png,COL_2,2006366578,2006366578,0,0,,,,,,,,,
103.png,COL_3,6085053968,6085053968,0,0,,,,,,,,,
167.png,COL_1,4654929452,4654929452,0,0,,,,,,,,,
167.png,COL_2,4304664574,4304664574,0,0,,,,,,,,,
167.png,COL_3,8085630409,8085630409,0,0,,,,,,,,,
46.png,COL_1,4630766894,4630766894,0,0,,,,,,,,,
46.png,COL_2,2104624358,2104624358,0,0,,,,,,,,,
46.png,COL_3,0089641642,0089641642,0,0,,,,,,,,,
5.jpg,COL_1,1950749163,1950749163,0,0,,,,,,,,,
5.jpg,COL_2,9001761572,9001761572,0,0,,,,,,,,,
5.jpg,COL_3,6055150036,6055150036,0,0,,,,,,,,,
base64decoded - 2026-01-21T163655.202.png,COL_1,7315995093,7315995093,0,0,,,,,,,,,
base64decoded - 2026-01-21T163655.202.png,COL_2,8103960571,8103960571,0,0,,,,,,,,,
base64decoded - 2026-01-21T163655.202.png,COL_3,9035975208,9035975208,0,0,,,,,,,,,
base64decoded (83).png,COL_1,0745059109,0745059109,0,0,,,,,,,,,
base64decoded (83).png,COL_2,2011591441,2011591441,0,0,,,,,,,,,
base64decoded (83).png,COL_3,3131481051,3131481051,0,0,,,,,,,,,
300.png,COL_1,9105747464,9105747464,0,0,,,,,,,,,
300.png,COL_2,5034304594,5034304594,0,0,,,,,,,,,
300.png,COL_3,6383657206,6383657206,0,0,,,,,,,,,
base64decoded (77).png,COL_1,2558652673,2558652673,0,0,,,,,,,,,
base64decoded (77).png,COL_2,0331201598,0331201598,0,0,,,,,,,,,
base64decoded (77).png,COL_3,0333431276,0333431276,0,0,,,,,,,,,
base64decoded (8).png,COL_1,0730994405,0730994405,0,0,,,,,,,,,
base64decoded (8).png,COL_2,8014694376,8014694376,0,0,,,,,,,,,
base64decoded (8).png,COL_3,4187698920,4187698920,0,0,,,,,,,,,
86.jpeg,COL_1,1930725032,1930725032,0,0,,,,,,,,,
86.jpeg,COL_2,9000830326,9000830326,0,0,,,,,,,,,
86.jpeg,COL_3,9058595394,9058595394,0,0,,,,,,,,,
base64decoded - 2026-01-21T155231.334.png,COL_1,7870283956,7870283956,0,0,,,,,,,,,
base64decoded - 2026-01-21T155231.334.png,COL_2,8143963754,8143963754,0,0,,,,,,,,,
base64decoded - 2026-01-21T155231.334.png,COL_3,6456326928,6456326928,0,0,,,,,,,,,
145.png,COL_1,1880626384,1880626384,0,0,,,,,,,,,
145.png,COL_2,8403723854,8403723854,0,0,,,,,,,,,
145.png,COL_3,6059361723,6059361723,0,0,,,,,,,,,
273.png,COL_1,9013650390,9013650390,0,0,,,,,,,,,
273.png,COL_2,5103623553,5103623553,0,0,,,,,,,,,
273.png,COL_3,9059371288,9059371288,0,0,,,,,,,,,
base64decoded - 2026-01-21T164216.355.jfif,COL_1,7631030159,7631030159,0,0,,,,,,,,,
base64decoded - 2026-01-21T164216.355.jfif,COL_2,0017291346,0017291346,0,0,,,,,,,,,
base64decoded - 2026-01-21T164216.355.jfif,COL_3,7171293386,7171293386,0,0,,,,,,,,,
217.png,COL_1,7555691449,7555691449,0,0,,,,,,,,,
217.png,COL_2,4114794574,4114794574,0,0,,,,,,,,,
217.png,COL_3,7487616412,7487616412,0,0,,,,,,,,,
296.png,COL_1,9150154490,9150154490,0,0,,,,,,,,,
296.png,COL_2,5114794578,5114794578,0,0,,,,,,,,,
296.png,COL_3,9187612530,9187612530,0,0,,,,,,,,,
base64decoded - 2026-01-21T153536.686.png,COL_1,5953873482,5953873482,0,0,,,,,,,,,
base64decoded - 2026-01-21T153536.686.png,COL_2,8001921558,8001921558,0,0,,,,,,,,,
base64decoded - 2026-01-21T153536.686.png,COL_3,6079252198,6079252198,0,0,,,,,,,,,
base64decoded - 2026-01-21T155317.826.png,COL_1,9176647996,9176647996,0,0,,,,,,,,,
base64decoded - 2026-01-21T155317.826.png,COL_2,2163953714,2163953714,0,0,,,,,,,,,
base64decoded - 2026-01-21T155317.826.png,COL_3,6650325026,6650325026,0,0,,,,,,,,,
base64decoded - 2026-01-21T163858.394.jfif,COL_1,5541659146,,1,1,,,,,,,,,
base64decoded - 2026-01-21T163858.394.jfif,COL_2,2013361443,2013361443,0,0,,,,,,,,,
base64decoded - 2026-01-21T163858.394.jfif,COL_3,3132489021,3132489021,0,0,,,,,,,,,
84.png,COL_1,1048383774,1048383774,0,0,,,,,,,,,
84.png,COL_2,1040360456,1040360456,0,0,,,,,,,,,
84.png,COL_3,6456585777,6456585777,0,0,,,,,,,,,
276.png,COL_1,6356873159,6356873159,0,0,,,,,,,,,
276.png,COL_2,9141661551,9141661551,0,0,,,,,,,,,
276.png,COL_3,0456775104,,1,1,,,,,,,,,
154.png,COL_1,1915950309,1915950309,0,0,,,,,,,,,
154.png,COL_2,2113293344,2113293344,0,0,,,,,,,,,
154.png,COL_3,0151343557,0151343557,0,0,,,,,,,,,
base64decoded (94).png,COL_1,5052806594,,1,1,,,,,,,,,
base64decoded (94).png,COL_2,4004924550,,1,1,,,,,,,,,
base64decoded (94).png,COL_3,6089659567,,1,1,,,,,,,,,
285.png,COL_1,3850446812,3850446812,0,0,,,,,,,,,
285.png,COL_2,6006326556,6006326556,0,0,,,,,,,,,
285.png,COL_3,6089052560,6089052560,0,0,,,,,,,,,
235.jpeg,COL_1,2335174008,2335174008,0,0,,,,,,,,,
235.jpeg,COL_2,0336809584,0336809584,0,0,,,,,,,,,
235.jpeg,COL_3,0353530736,0353530736,0,0,,,,,,,,,
base64decoded (1).png,COL_1,6833302894,,1,1,,,,,,,,,
base64decoded (1).png,COL_2,2134804398,2134804398,0,0,,,,,,,,,
base64decoded (1).png,COL_3,4383649788,4383649788,0,0,,,,,,,,,
184.png,COL_1,4757739054,4757739054,0,0,,,,,,,,,
184.png,COL_2,5010360544,5010360544,0,0,,,,,,,,,
184.png,COL_3,6152551644,6152551644,0,0,,,,,,,,,
262.jpeg,COL_1,3253226510,3253226510,0,0,,,,,,,,,
262.jpeg,COL_2,2300620550,2300620550,0,0,,,,,,,,,
262.jpeg,COL_3,0059535256,0059535256,0,0,,,,,,,,,
base64decoded - 2026-01-21T160035.150.png,COL_1,9051945153,9051945153,0,0,,,,,,,,,
base64decoded - 2026-01-21T160035.150.png,COL_2,8101031521,8101031521,0,0,,,,,,,,,
base64decoded - 2026-01-21T160035.150.png,COL_3,6058715221,6058715221,0,0,,,,,,,,,
66.png,COL_1,1053751300,1053751300,0,0,,,,,,,,,
66.png,COL_2,4013703563,4013703563,0,0,,,,,,,,,
66.png,COL_3,6154351424,6154351424,0,0,,,,,,,,,
221.png,COL_1,5331937614,5331937614,0,0,,,,,,,,,
221.png,COL_2,0116206368,0116206368,0,0,,,,,,,,,
221.png,COL_3,0184045359,0184045359,0,0,,,,,,,,,
base64decoded - 2026-01-21T155839.573.png,COL_1,5080542737,5080542737,0,0,,,,,,,,,
base64decoded - 2026-01-21T155839.573.png,COL_2,7430300896,7430300896,0,0,,,,,,,,,
base64decoded - 2026-01-21T155839.573.png,COL_3,2353562742,2353562742,0,0,,,,,,,,,
127.png,COL_1,0736545553,,1,1,,,,,,,,,
127.png,COL_2,3100230322,3100230322,0,0,,,,,,,,,
127.png,COL_3,2038944202,2038944202,0,0,,,,,,,,,
base64decoded - 2026-01-21T161327.692.jpeg,COL_1,2751434320,2751434320,0,0,,,,,,,,,
base64decoded - 2026-01-21T161327.692.jpeg,COL_2,8110490570,8110490570,0,0,,,,,,,,,
base64decoded - 2026-01-21T161327.692.jpeg,COL_3,8137978414,8137978414,0,0,,,,,,,,,
173.png,COL_1,1937982596,1937982596,0,0,,,,,,,,,
173.png,COL_2,9031101392,9031101392,0,0,,,,,,,,,
173.png,COL_3,2353195677,2353195677,0,0,,,,,,,,,
88.png,COL_1,4085582840,4085582840,0,0,,,,,,,,,
88.png,COL_2,4434704898,4434704898,0,0,,,,,,,,,
88.png,COL_3,6383667654,6383667654,0,0,,,,,,,,,
72.jpg,COL_1,0365138353,0365138353,0,0,,,,,,,,,
72.jpg,COL_2,5613093844,5613093844,0,0,,,,,,,,,
72.jpg,COL_3,5151307750,5151307750,0,0,,,,,,,,,
base64decoded (98).png,COL_1,3838524399,,1,1,,,,,,,,,
base64decoded (98).png,COL_2,0110790370,,1,1,,,,,,,,,
base64decoded (98).png,COL_3,4137944630,,1,1,,,,,,,,,
101.png,COL_1,9647605643,9647605643,0,0,,,,,,,,,
101.png,COL_2,0006936425,0006936425,0,0,,,,,,,,,
101.png,COL_3,6088089364,6088089364,0,0,,,,,,,,,
106.png,COL_1,2535480796,2535480796,0,0,,,,,,,,,
106.png,COL_2,3011891341,3011891341,0,0,,,,,,,,,
106.png,COL_3,4171294858,4171294858,0,0,,,,,,,,,
base64decoded - 2026-01-21T161154.835.jpg,COL_1,7455420052,7455420052,0,0,,,,,,,,,
base64decoded - 2026-01-21T161154.835.jpg,COL_2,7110090541,7110090541,0,0,,,,,,,,,
base64decoded - 2026-01-21T161154.835.jpg,COL_3,9131912463,9131912463,0,0,,,,,,,,,
153.png,COL_1,1387122163,1387122163,0,0,,,,,,,,,
153.png,COL_2,5631301892,5631301892,0,0,,,,,,,,,
153.png,COL_3,5353107752,5353107752,0,0,,,,,,,,,
base64decoded - 2026-01-21T161131.176.jpg,COL_1,8630375753,8630375753,0,0,,,,,,,,,
base64decoded - 2026-01-21T161131.176.jpg,COL_2,4100730326,4100730326,0,0,,,,,,,,,
base64decoded - 2026-01-21T161131.176.jpg,COL_3,4058549146,4058549146,0,0,,,,,,,,,
base64decoded - 2026-01-21T164028.507.jfif,COL_1,7631030159,7631030159,0,0,,,,,,,,,
base64decoded - 2026-01-21T164028.507.jfif,COL_2,0017291346,0017291346,0,0,,,,,,,,,
base64decoded - 2026-01-21T164028.507.jfif,COL_3,7171293386,7171293386,0,0,,,,,,,,,
343.png,COL_1,5018943094,5018943094,0,0,,,,,,,,,
343.png,COL_2,0140660551,,1,1,,,,,,,,,
343.png,COL_3,9446810080,9446810080,0,0,,,,,,,,,
26.png,COL_1,4680985899,4680985899,0,0,,,,,,,,,
26.png,COL_2,2606136826,2606136826,0,0,,,,,,,,,
26.png,COL_3,4288000743,4288000743,0,0,,,,,,,,,
base64decoded - 2026-01-21T160220.164.png,COL_1,7958507810,7958507810,0,0,,,,,,,,,
base64decoded - 2026-01-21T160220.164.png,COL_2,1314204560,,1,1,,,,,,,,,
base64decoded - 2026-01-21T160220.164.png,COL_3,0184633576,0184633576,0,0,,,,,,,,,
44.png,COL_1,8052487159,8052487159,0,0,,,,,,,,,
44.png,COL_2,2061751513,2061751513,0,0,,,,,,,,,
44.png,COL_3,6630454309,6630454309,0,0,,,,,,,,,
4.jpeg,COL_1,2745057669,2745057669,0,0,,,,,,,,,
4.jpeg,COL_2,6416596875,6416596875,0,0,,,,,,,,,
4.jpeg,COL_3,0187062213,0187062213,0,0,,,,,,,,,
base64decoded - 2026-01-21T154825.564.png,COL_1,9453751780,9453751780,0,0,,,,,,,,,
base64decoded - 2026-01-21T154825.564.png,COL_2,3113603560,3113603560,0,0,,,,,,,,,
base64decoded - 2026-01-21T154825.564.png,COL_3,2154375301,2154375301,0,0,,,,,,,,,
53.jfif,COL_1,5607867064,5607867064,0,0,,,,,,,,,
53.jfif,COL_2,8010760543,8010760543,0,0,,,,,,,,,
53.jfif,COL_3,2142853655,2142853655,0,0,,,,,,,,,
base64decoded - 2026-01-21T152417.303.png,COL_1,2151326530,2151326530,0,0,,,,,,,,,
base64decoded - 2026-01-21T152417.303.png,COL_2,3104024558,3104024558,0,0,,,,,,,,,
base64decoded - 2026-01-21T152417.303.png,COL_3,9089615675,9089615675,0,0,,,,,,,,,
base64decoded - 2026-01-21T152932.785.png,COL_1,8874942530,8874942530,0,0,,,,,,,,,
base64decoded - 2026-01-21T152932.785.png,COL_2,3133903795,3133903795,0,0,,,,,,,,,
base64decoded - 2026-01-21T152932.785.png,COL_3,6353328217,,1,1,,,,,,,,,
105.png,COL_1,1888927246,1888927246,0,0,,,,,,,,,
105.png,COL_2,0660050810,,1,1,,,,,,,,,
105.png,COL_3,5640806798,5640806798,0,0,,,,,,,,,
378.png,COL_1,3387962395,3387962395,0,0,,,,,,,,,
378.png,COL_2,4430000890,4430000890,0,0,,,,,,,,,
378.png,COL_3,6333961640,6333961640,0,0,,,,,,,,,
base64decoded - 2026-01-21T161031.115.png,COL_1,8239654461,8239654461,0,0,,,,,,,,,
base64decoded - 2026-01-21T161031.115.png,COL_2,5011691375,5011691375,0,0,,,,,,,,,
base64decoded - 2026-01-21T161031.115.png,COL_3,4157198733,4157198733,0,0,,,,,,,,,
base64decoded - 2026-01-21T164156.302.jpeg,COL_1,0454489426,0454489426,0,0,,,,,,,,,
base64decoded - 2026-01-21T164156.302.jpeg,COL_2,7301861576,7301861576,0,0,,,,,,,,,
base64decoded - 2026-01-21T164156.302.jpeg,COL_3,4075231237,4075231237,0,0,,,,,,,,,
base64decoded - 2026-01-21T151818.252.png,COL_1,9154389050,9154389050,0,0,,,,,,,,,
base64decoded - 2026-01-21T151818.252.png,COL_2,3300260570,3300260570,0,0,,,,,,,,,
base64decoded - 2026-01-21T151818.252.png,COL_3,0045837848,0045837848,0,0,,,,,,,,,
base64decoded - 2026-01-21T160854.593.png,COL_1,9751306531,9751306531,0,0,,,,,,,,,
base64decoded - 2026-01-21T160854.593.png,COL_2,6104424554,,1,1,,,,,,,,,
base64decoded - 2026-01-21T160854.593.png,COL_3,9089675132,9089675132,0,0,,,,,,,,,
104.png,COL_1,3950674158,3950674158,0,0,,,,,,,,,
104.png,COL_2,8111791571,8111791571,0,0,,,,,,,,,
104.png,COL_3,9137412101,9137412101,0,0,,,,,,,,,
110.png,COL_1,5084205561,5084205561,0,0,,,,,,,,,
110.png,COL_2,4400730824,4400730824,0,0,,,,,,,,,
110.png,COL_3,6058568796,6058568796,0,0,,,,,,,,,
base64decoded - 2026-01-21T153509.771.png,COL_1,2344143642,2344143642,0,0,,,,,,,,,
base64decoded - 2026-01-21T153509.771.png,COL_2,2046966456,2046966456,0,0,,,,,,,,,
base64decoded - 2026-01-21T153509.771.png,COL_3,3486085335,3486085335,0,0,,,,,,,,,
base64decoded - 2026-01-21T154638.872.png,COL_1,7915038691,7915038691,0,0,,,,,,,,,
base64decoded - 2026-01-21T154638.872.png,COL_2,0116096546,0116096546,0,0,,,,,,,,,
base64decoded - 2026-01-21T154638.872.png,COL_3,9181017538,9181017538,0,0,,,,,,,,,
base64decoded - 2026-01-21T161653.825.png,COL_1,6243227503,6243227503,0,0,,,,,,,,,
base64decoded - 2026-01-21T161653.825.png,COL_2,7013503460,7013503460,0,0,,,,,,,,,
base64decoded - 2026-01-21T161653.825.png,COL_3,6154386971,6154386971,0,0,,,,,,,,,
base64decoded - 2026-01-21T161758.765.png,COL_1,9985543149,9985543149,0,0,,,,,,,,,
base64decoded - 2026-01-21T161758.765.png,COL_2,6411391848,6411391848,0,0,,,,,,,,,
base64decoded - 2026-01-21T161758.765.png,COL_3,6131462084,6131462084,0,0,,,,,,,,,
base64decoded - 2026-01-21T153059.351.png,COL_1,4950605490,4950605490,0,0,,,,,,,,,
base64decoded - 2026-01-21T153059.351.png,COL_2,5001931529,5001931529,0,0,,,,,,,,,
base64decoded - 2026-01-21T153059.351.png,COL_3,8058152228,8058152228,0,0,,,,,,,,,
141.png,COL_1,9641905334,9641905334,0,0,,,,,,,,,
141.png,COL_2,3003933424,3003933424,0,0,,,,,,,,,
141.png,COL_3,3058381649,3058381649,0,0,,,,,,,,,
base64decoded - 2026-01-21T153750.669.png,COL_1,7035020156,7035020156,0,0,,,,,,,,,
base64decoded - 2026-01-21T153750.669.png,COL_2,1001661371,1001661371,0,0,,,,,,,,,
base64decoded - 2026-01-21T153750.669.png,COL_3,2035497814,2035497814,0,0,,,,,,,,,
base64decoded - 2026-01-21T154259.347.png,COL_1,5740016334,5740016334,0,0,,,,,,,,,
base64decoded - 2026-01-21T154259.347.png,COL_2,0006526452,0006526452,0,0,,,,,,,,,
base64decoded - 2026-01-21T154259.347.png,COL_3,3089082723,3089082723,0,0,,,,,,,,,
130.jpeg,COL_1,8670362510,8670362510,0,0,,,,,,,,,
130.jpeg,COL_2,5133203793,5133203793,0,0,,,,,,,,,
130.jpeg,COL_3,8353320312,8353320312,0,0,,,,,,,,,
220.png,COL_1,8754217881,8754217881,0,0,,,,,,,,,
220.png,COL_2,8104734520,8104734520,0,0,,,,,,,,,
220.png,COL_3,9088612121,9088612121,0,0,,,,,,,,,
base64decoded - 2026-01-21T162235.055.png,COL_1,6656173010,6656173010,0,0,,,,,,,,,
base64decoded - 2026-01-21T162235.055.png,COL_2,0140460551,,1,1,,,,,,,,,
base64decoded - 2026-01-21T162235.055.png,COL_3,9446874883,9446874883,0,0,,,,,,,,,
125.png,COL_1,8513917060,8513917060,0,0,,,,,,,,,
125.png,COL_2,4103403741,4103403741,0,0,,,,,,,,,
125.png,COL_3,6039923453,6039923453,0,0,,,,,,,,,
277.png,COL_1,7103765031,7103765031,0,0,,,,,,,,,
277.png,COL_2,5010900460,5010900460,0,0,,,,,,,,,
277.png,COL_3,3154589581,3154589581,0,0,,,,,,,,,
base64decoded - 2026-01-21T155418.210.png,COL_1,9134775596,9134775596,0,0,,,,,,,,,
