Archivo Físico,Match Excel,COL_1 Esperado,COL_1 Extraído,Match COL_1,COL_2 Esperado,COL_2 Extraído,Match COL_2,COL_3 Esperado,COL_3 Extraído,Match COL_3,Exactitud Ticket
base64decoded - 2026-01-21T154745.908.png,base64decoded - 2026-01-21T154745.908.png,COL 1. 05418 90573,COL 1. 05418 90573,True,COL 2. 40105 90441,COL 2. 40105 90441,True,COL 3. 31319 82231,COL 3. 31319 82231,True,3/3
base64decoded - 2026-01-21T155006.765.png,base64decoded - 2026-01-21T155006.765.png,COL 1. 08581 52173,COL 1. 08581 52173,True,COL 2. 63362 06592,COL 2. 63362 06592,True,COL 3. 03830 38660,COL 3. 03830 38660,True,3/3
49.png,49.png,COL 1. 50503 03016,COL 1. 50503 03076,False,COL 2. 11407 60556,COL 2. 11407 60556,True,COL 3. 84565 70164,COL 3. 84565 70164,True,2/3
base64decoded (37).png,base64decoded (37).png,COL 1. 54895 14057,COL 1. 54895 14057,True,COL 2. 76107 90873,,False,COL 3. 51379 03271,,False,1/3
61.png,61.png,COL 1. 15389 69036,COL 1. 15389 69036,True,COL 2. 70105 60340,COL 2. 70105 60340,True,COL 3. 21329 95246,COL 3. 21329 95246,True,3/3
base64decoded - 2026-01-21T161925.910.png,base64decoded - 2026-01-21T161925.910.png,COL 1. 55337 02139,COL 1. 55337 02139,True,COL 2. 91317 01395,COL 2. 91317 01395,True,COL 3. 03537 45531,COL 3. 03537 45531,True,3/3
174.png,174.png,COL 1. 48506 39152,,False,COL 2. 81016 61570,,False,COL 3. 90557 70445,,False,0/3
160.png,160.png,COL 1. 36428 80889,COL 1. 36428 80889,True,COL 2. 60162 96442,COL 2. 60162 96442,True,COL 3. 31810 88560,COL 3. 31810 88560,True,3/3
148.png,148.png,COL 1. 00519 19986,COL 1. 00519 19986,True,COL 2. 70133 63540,COL 2. 70133 63540,True,COL 3. 21523 59826,COL 3. 21523 59826,True,3/3
base64decoded (60).png,base64decoded (60).png,COL 1. 07827 70162,,False,COL 2. 44113 91841,,False,COL 3. 11517 61793,,False,0/3
base64decoded - 2026-01-21T163806.856.png,base64decoded - 2026-01-21T163806.856.png,COL 1. 54467 60539,COL 1. 54467 60539,True,COL 2. 00153 90444,COL 2. 00153 90444,True,COL 3. 31515 80293,COL 3. 31515 80293,True,3/3
base64decoded - 2026-01-21T151930.173.png,base64decoded - 2026-01-21T151930.173.png,COL 1. 97587 97158,COL 1. 97587 97158,True,COL 2. 41614 51510,COL 2. 41614 51510,True,COL 3. 86304 72342,COL 3. 86304 72342,True,3/3
389.png,389.png,COL 1. 10334 32598,COL 1. 10334 32598,True,COL 2. 20318 01391,COL 2. 20318 01391,True,COL 3. 23531 93514,COL 3. 23531 93514,True,3/3
base64decoded - 2026-01-21T162203.677.jpg,base64decoded - 2026-01-21T162203.677.jpg,COL 1. 98139 71067,,False,COL 2. 11036 20750,COL 2. 11036 20750,True,COL 3. 00399 20914,COL 3. 00399 20914,True,2/3
base64decoded - 2026-01-21T163759.127.png,base64decoded - 2026-01-21T163759.127.png,COL 1. 52565 67725,COL 1. 52565 67725,True,COL 2. 40646 50510,COL 2. 40646 50510,True,COL 3. 56408 51284,COL 3. 56408 51284,True,3/3
base64decoded - 2026-01-21T151826.586.png,base64decoded - 2026-01-21T151826.586.png,COL 1. 68536 40861,COL 1. 68536 40861,True,COL 2. 60169 96542,COL 2. 60169 96542,True,COL 3. 61810 54863,COL 3. 61810 54863,True,3/3
376.png,376.png,COL 1. 16519 57355,COL 1. 16519 57355,True,COL 2. 41134 03560,COL 2. 41134 03560,True,COL 3. 41543 17828,COL 3. 41543 17828,True,3/3
362.png,362.png,COL 1. 92761 59752,COL 1. 92761 59752,True,COL 2. 61112 61740,COL 2. 61112 61740,True,COL 3. 61527 23164,COL 3. 61527 23164,True,3/3
366.png,366.png,COL 1. 77309 56495,COL 1. 77309 56495,True,COL 2. 01002 20354,,False,COL 3. 40498 48702,COL 3. 40496 48702,False,1/3
372.png,372.png,COL 1. 19748 52530,COL 1. 19748 52530,True,COL 2. 71312 01791,COL 2. 71312 01791,True,COL 3. 63537 28938,COL 3. 63537 28938,True,3/3
base64decoded (61).png,base64decoded (61).png,COL 1. 90518 99153,COL 1. 90518 99153,True,COL 2. 60119 61540,COL 2. 60119 61540,True,COL 3. 61527 50527,COL 3. 61527 50527,True,3/3
base64decoded - 2026-01-21T154129.948.png,base64decoded - 2026-01-21T154129.948.png,COL 1. 53752 37663,,False,COL 2. 91109 00764,COL 2. 91109 00764,True,COL 3. 61448 28773,COL 3. 61448 28773,True,2/3
base64decoded - 2026-01-21T153402.478.png,base64decoded - 2026-01-21T153402.478.png,COL 1. 12846 05186,COL 1. 12846 05186,True,COL 2. 86017 31823,COL 2. 86017 31823,True,COL 3. 30384 08243,COL 3. 30384 08243,True,3/3
base64decoded - 2026-01-21T160637.829.png,base64decoded - 2026-01-21T160637.829.png,COL 1. 11319 30036,,False,COL 2. 30106 90340,,False,COL 3. 01319 90074,,False,0/3
base64decoded - 2026-01-21T153002.366.png,base64decoded - 2026-01-21T153002.366.png,COL 1. 88509 12573,COL 1. 88509 12573,True,COL 2. 13304 00592,COL 2. 13304 00592,True,COL 3. 83339 32676,COL 3. 83339 32676,True,3/3
164.png,164.png,COL 1. 42502 69512,,False,COL 2. 71007 60570,COL 2. 71007 60570,True,COL 3. 69555 18312,,False,1/3
170.png,170.png,COL 1. 34522 10165,COL 1. 34522 10165,True,COL 2. 10113 91540,COL 2. 10113 91540,True,COL 3. 61517 51273,COL 3. 61517 51273,True,3/3
158.png,158.png,COL 1. 42868 40166,,False,COL 2. 94117 91849,COL 2. 94117 91849,True,COL 3. 01517 65150,COL 3. 01517 65160,False,1/3
59.png,59.png,COL 1. 00715 26463,COL 1. 00715 26463,True,COL 2. 71002 20753,COL 2. 71002 20753,True,COL 3. 00399 29596,COL 3. 00399 29596,True,3/3
base64decoded (36).png,base64decoded (36).png,COL 1. 95379 25011,COL 1. 95379 25011,True,COL 2. 61007 30320,COL 2. 61007 30320,True,COL 3. 40488 47793,COL 3. 40488 47793,True,3/3
71.png,71.png,COL 1. 20886 37158,,False,COL 2. 54117 01861,COL 2. 54117 01861,True,COL 3. 61547 62272,COL 3. 61547 62272,True,2/3
base64decoded - 2026-01-21T160437.842.png,base64decoded - 2026-01-21T160437.842.png,COL 1. 14540 43655,COL 1. 14540 43655,True,COL 2. 23462 66556,COL 2. 23462 66556,True,COL 3. 04860 33179,COL 3. 04860 33179,True,3/3
base64decoded (20).png,base64decoded (20).png,COL 1. 28157 90100,,False,COL 2. 21017 61372,,False,COL 3. 00551 48537,,False,0/3
212.png,212.png,COL 1. 29528 13518,COL 1. 29528 13518,True,COL 2. 90434 63554,COL 2. 90434 63554,True,COL 3. 64563 57880,COL 3. 64563 57880,True,3/3
base64decoded - 2026-01-21T153638.184.png,base64decoded - 2026-01-21T153638.184.png,COL 1. 39189 72497,COL 1. 39189 72497,True,COL 2. 61444 64554,COL 2. 61444 64554,True,COL 3. 84866 74997,COL 3. 84866 74997,True,3/3
206.png,206.png,COL 1. 49503 66774,COL 1. 49503 66774,True,COL 2. 03006 20550,,False,COL 3. 00595 31456,,False,1/3
base64decoded - 2026-01-21T161944.425.png,base64decoded - 2026-01-21T161944.425.png,COL 1. 26853 76060,,False,COL 2. 66045 60870,,False,COL 3. 80458 01932,,False,0/3
base64decoded - 2026-01-21T155050.921.png,base64decoded - 2026-01-21T155050.921.png,COL 1. 94777 25110,,False,COL 2. 61019 31729,,False,COL 3. 00587 29687,,False,0/3
base64decoded (77).png,base64decoded (77).png,COL 1. 25586 52673,COL 1. 25586 52673,True,COL 2. 03312 01598,COL 2. 03312 01598,True,COL 3. 03334 31276,COL 3. 03334 31276,True,3/3
base64decoded (98).png,base64decoded (98).png,COL 1. 38385 24399,,False,COL 2. 01107 90370,,False,COL 3. 41379 44630,,False,0/3
base64decoded - 2026-01-21T160943.582.png,base64decoded - 2026-01-21T160943.582.png,COL 1. 73519 97054,,False,COL 2. 10109 00564,COL 2. 10109 00564,True,COL 3. 61448 55438,COL 3. 61448 55438,True,2/3
base64decoded - 2026-01-21T161733.634.png,base64decoded - 2026-01-21T161733.634.png,COL 1. 73719 96757,COL 1. 73719 96757,True,COL 2. 51056 21751,COL 2. 51056 21751,True,COL 3. 60597 29933,COL 3. 60597 29933,True,3/3
207.png,207.png,COL 1. 21885 37680,,False,COL 2. 06160 06868,COL 2. 06160 06868,True,COL 3. 51840 03151,,False,1/3
213.png,213.png,COL 1. 46760 29068,COL 1. 46760 29068,True,COL 2. 01102 60744,COL 2. 01102 60744,True,COL 3. 61428 21394,COL 3. 61428 21394,True,3/3
base64decoded - 2026-01-21T155231.334.png,base64decoded - 2026-01-21T155231.334.png,COL 1. 78702 83956,,False,COL 2. 81439 63754,COL 2. 81439 68754,False,COL 3. 64563 26928,COL 3. 64563 26928,True,1/3
base64decoded - 2026-01-21T161130.848.png,base64decoded - 2026-01-21T161130.848.png,COL 1. 86303 75753,COL 1. 86303 75753,True,COL 2. 41007 30326,COL 2. 41007 30326,True,COL 3. 40585 49146,COL 3. 40585 49146,True,3/3
